name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Hey Ya!,Outkast,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,79.526,0.965,0.9628,Happy
Don't Be so Hard on Yourself,Jess Glynne,1KtVVUM6OkpyOsbVfbMybX,0.571,0.815,-3.267,0.0321,0.0608,0.0,0.163,120.008,0.664,-0.9974,Happy
Party In The U.S.A.,Miley Cyrus,3E7dfMvvCLUddWissuqMwr,0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,96.021,0.47,0.9972,Happy
No Scrubs,TLC,1KGi9sZVMeszgZOWivFpxs,0.743,0.675,-4.267,0.0953,0.0251,0.000717,0.0685,92.909,0.59,0.9282,Happy
Rolling in the Deep,Adele,4OSBTYWVwsQhGLF9NHvIbR,0.73,0.769,-5.114,0.0298,0.138,0.0,0.0473,104.948,0.507,0.9985,Happy
Song 2 - 2012 Remaster,Blur,1FTSo4v6BOZH9QxKc3MbVM,0.674,0.789,-6.903,0.0676,0.00178,0.00708,0.0753,129.802,0.918,-0.9969,Happy
Chandelier,Sia,4VrWlk8IQxevMvERoX08iC,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,117.089,0.572,0.9576,Happy
Lovefool,The Cardigans,7aQjPecQdIuNd1sz3KCDhD,0.704,0.636,-6.029,0.0252,0.0344,0.0,0.35,111.845,0.89,0.9975,Happy
Rock Your Body,Justin Timberlake,1AWQoqb9bSvzTjaLralEkT,0.892,0.714,-6.055,0.141,0.201,0.000234,0.0521,100.972,0.817,0.9972,Happy
Family Affair,Mary J. Blige,3aw9iWUQ3VrPQltgwvN9Xu,0.911,0.551,-3.75,0.0449,0.132,4.12e-05,0.0863,92.887,0.969,0.9941,Happy
Bang Bang,Jessie J,0puf9yIluy9W0vpMEUoAnN,0.706,0.786,-3.417,0.091,0.26,0.0,0.38,150.028,0.751,0.9831,Happy
American Boy,Estelle,6etwirSInfuJrSOlogS6Sh,0.693,0.729,-2.99,0.378,0.171,0.0,0.07,117.848,0.521,0.9991,Happy
