name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Praying,Kesha,0jdny0dhgjUwoIp5GkqEaA,0.543,0.39,-7.202,0.0322,0.489,0.0,0.111,73.415,0.303,0.9968,Calm
The Man Who Can't Be Moved,The Script,3nqqDo8CcCLke3ZoTgiOKf,0.605,0.629,-5.051,0.0279,0.437,0.0,0.097,99.894,0.308,-0.6278,Calm
FourFiveSeconds,Rihanna,78TTtXnFQPzwqlbtbwqN0y,0.582,0.272,-5.662,0.0501,0.875,0.0,0.13,205.846,0.354,0.9657,Calm
Too Good At Goodbyes,Sam Smith,1mXVgsBdtIVeCLJnSnmtdV,0.681,0.372,-8.237,0.0432,0.64,0.0,0.169,91.873,0.476,-0.9701,Calm
Bubbly,Colbie Caillat,1lkvpmrCaXK8QtliFDcHBO,0.688,0.477,-6.684,0.036,0.594,0.0,0.115,127.866,0.257,0.9941,Calm
Clocks,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,130.97,0.255,-0.5803,Calm
Lover,Taylor Swift,1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,68.534,0.453,0.996,Calm
a thousand years,Christina Perri,6lanRgr6wXibZr8KgzXxBl,0.421,0.407,-7.445,0.0267,0.309,0.000961,0.11,139.028,0.161,0.9977,Calm
death bed (coffee for your head),Powfu,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0.0,0.696,144.026,0.348,0.9852,Calm
SNAP,Rosa Linn,76OGwb5RA9h4FxQPT33ekc,0.565,0.636,-8.198,0.0638,0.107,9.9e-06,0.447,170.01,0.525,0.8457,Calm
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,115.284,0.12,0.7941,Calm
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2YlZnw2ikdb837oKMKjBkW,0.63,0.53,-7.259,0.0434,0.4,0.0,0.177,108.038,0.417,0.9948,Calm
Lego House,Ed Sheeran,5ubHAQtKuFfiG4FXfLP804,0.592,0.637,-8.48,0.0992,0.562,0.0,0.13,159.701,0.565,0.998,Calm
Before You,Benson Boone,523f4oSjrZx83XDtRLnsIw,0.269,0.373,-7.113,0.0371,0.15,0.0,0.129,202.899,0.321,0.9837,Calm
Can I Be Him,James Arthur,0VhgEqMTNZwYL1ARDLLNCX,0.696,0.543,-6.164,0.0489,0.308,0.0,0.0939,107.969,0.479,0.9471,Calm
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,-5.339,0.0286,0.777,0.0,0.202,101.19,0.342,0.0,Calm
Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,173.372,0.285,0.9801,Calm
You Are The Reason,Calum Scott,69vToJ9BMbbLlFZo7k7A7B,0.329,0.235,-7.699,0.0303,0.918,0.0,0.137,171.006,0.22,-0.9288,Calm
Mean It,Lauv,6mXdCcFnPKQznj4CmMRmHC,0.747,0.45,-8.543,0.0919,0.0407,0.0,0.17,96.001,0.329,-0.9683,Calm
You & I,One Direction,2afCBiru10AFckfOa49wIa,0.574,0.329,-6.829,0.0274,0.22,0.0,0.0986,130.993,0.356,0.9163,Calm
She Will Be Loved - Radio Mix,Maroon 5,4llK75pXNWZz6KAho2Gp16,0.651,0.663,-5.569,0.0281,0.228,0.0,0.0994,102.0,0.465,0.9979,Calm
All I Ask,Adele,6DEMMeWXfmFAXgDUMMzeg6,0.591,0.28,-5.494,0.0283,0.889,0.0,0.124,141.916,0.348,0.975,Calm
This Town,Niall Horan,0qvzXomUDJVaUboy2wMfiS,0.677,0.401,-8.467,0.0308,0.712,0.0,0.116,111.825,0.195,0.9337,Calm
Eyes Closed,Ed Sheeran,3p7XQpdt8Dr6oMXSvRZ9bg,0.793,0.52,-7.457,0.0696,0.246,0.0,0.0878,107.014,0.309,0.9772,Calm
Must Have Been The Wind,Alec Benjamin,6lERHAmBCZmgODv3OYENXi,0.653,0.644,-6.204,0.0572,0.784,0.000202,0.161,88.968,0.363,0.9958,Calm
Clean (Taylor's Version),Taylor Swift,2ByBBvpR9b7IynvRmnG7kG,0.771,0.386,-8.917,0.0297,0.276,2.01e-05,0.121,103.96,0.239,0.9685,Calm
Never Be Alone,Shawn Mendes,3BYyBzKGPOCHeginhe0F77,0.376,0.466,-6.927,0.0353,0.514,5.8e-05,0.0781,199.835,0.276,0.9406,Calm
Moonlight,Ariana Grande,5A7CwBNDUhvLWuSU5oJEh3,0.626,0.412,-7.339,0.0292,0.417,3.55e-06,0.048,102.169,0.209,0.9632,Calm
Pray,Sam Smith,7DsX5K72fewVGb47qj7Tbg,0.535,0.382,-9.465,0.0426,0.282,1.14e-05,0.0865,87.801,0.147,0.9975,Calm
Bad Day,Daniel Powter,0mUyMawtxj1CJ76kn9gIZK,0.599,0.785,-4.013,0.0309,0.448,0.00336,0.151,140.046,0.52,-0.9925,Calm
Story of My Life,One Direction,4nVBt6MZDDP6tRVdQTgxJg,0.6,0.663,-5.802,0.0477,0.225,0.0,0.119,121.07,0.286,0.9586,Calm
Next To Me,Imagine Dragons,31VOknKjFrEX47bZXzqcoF,0.301,0.672,-4.497,0.0623,0.28,3.1e-05,0.0609,169.497,0.384,0.4548,Calm
Monsters,James Blunt,4SykS8RWkF6eK6xeua7XLP,0.375,0.409,-8.713,0.037,0.205,0.0,0.1,127.854,0.196,0.6314,Calm
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,4Pwjz3DfvfQWV0rO2V8jyh,0.587,0.698,-8.948,0.0943,0.0152,0.0,0.442,133.954,0.0985,-0.9613,Calm
BURN,¥$,04CyMEHliadfQWMUJb1w99,0.6,0.885,-6.21,0.393,0.0157,6.02e-06,0.856,105.003,0.736,0.9956,Calm
January 28th,J. Cole,6LBpGdlukUARutol7VgWIS,0.597,0.568,-8.559,0.342,0.242,0.0,0.0838,84.052,0.342,-0.7058,Calm
Robbery,Juice WRLD,6iaSML1PIYq936g62BDtBq,0.623,0.692,-5.122,0.0504,0.328,0.0,0.153,79.899,0.566,0.8568,Calm
Violent Crimes,Kanye West,3s7MCdXyWmwjdcWh7GWXas,0.669,0.419,-6.724,0.522,0.376,0.0,0.187,109.813,0.0397,-0.9833,Calm
You Know How We Do It,Ice Cube,2Ih217RCGAmyQR68Nn7Cqo,0.747,0.52,-10.523,0.0357,0.0977,0.0537,0.142,92.869,0.601,-0.9871,Calm
HONEST,Baby Keem,58k32my5lKofeZRtIvBDg9,0.676,0.536,-8.79,0.0432,0.403,3.37e-05,0.105,79.037,0.373,0.9988,Calm
Free Lunch,Isaiah Rashad,5FX89IUKm9QJT9ymrmyK4k,0.865,0.472,-7.359,0.237,0.223,5.39e-05,0.109,130.011,0.843,0.565,Calm
Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,7IBSffWIu7P2MC7kMwy2FM,0.877,0.477,-7.379,0.0587,0.307,0.0,0.0929,127.023,0.552,0.9971,Calm
90210 (feat. Kacy Hill),Travis Scott,51EC3I1nQXpec4gDk0mQyP,0.402,0.526,-6.741,0.0904,0.113,8.33e-06,0.105,81.404,0.312,0.8708,Calm
Purple,Nas,42qK1JWm8fDy3qHZbIZNuQ,0.865,0.595,-6.705,0.227,0.0377,0.0,0.0877,96.948,0.819,-0.9967,Calm
A.D.H.D,Kendrick Lamar,2Fw5S2gaOSZzdN5dFoC2dj,0.609,0.799,-6.883,0.24,0.33,0.0,0.108,157.74,0.582,-0.9796,Calm
Candy Paint,Post Malone,32lItqlMi4LBhb4k0BaSaC,0.664,0.667,-5.941,0.154,0.64,1.22e-06,0.0753,180.064,0.381,-0.9507,Calm
Los Pollos Hermanos,Knucks,0Y4mKsTiRbldLocloTolM1,0.798,0.618,-8.218,0.163,0.683,0.0,0.695,139.972,0.874,0.9935,Calm
Fuck Love,XXXTENTACION,7AQim7LbvFVZJE3O8TYgf2,0.797,0.533,-9.74,0.0412,0.0172,0.000152,0.103,131.036,0.329,-0.6004,Calm
Saint Pablo,Kanye West,1o0kWPueYo94LIjPYOE5Nf,0.461,0.772,-3.98,0.375,0.282,0.0,0.178,167.018,0.414,0.9965,Calm
It Was A Good Day,Ice Cube,2qOm7ukLyHUXWyR4ZWLwxA,0.798,0.744,-5.328,0.136,0.33,0.000106,0.292,82.356,0.794,-0.9984,Calm
Doomsday,MF DOOM,7EQvdUJqZ2i7SWvSB2VqGA,0.856,0.84,-7.736,0.334,0.0973,0.0,0.0773,95.416,0.792,-0.9896,Calm
Champagne Poetry,Drake,2HSmyk2qMN8WQjuGhaQgCk,0.423,0.667,-7.012,0.326,0.758,0.0,0.246,86.743,0.496,0.9976,Calm
So High (feat. Ghost Loft),Wiz Khalifa,0odHj0qIf86vHBsXB30IkZ,0.628,0.629,-4.829,0.0485,0.118,0.0,0.102,157.99,0.3,-0.9683,Calm
Chosen 1,Polo G,40QrLHWdsxyXLAdjJG4Rxs,0.77,0.576,-11.845,0.339,0.138,0.0,0.08,166.162,0.364,-0.9632,Calm
WAIT FOR U (feat. Drake & Tems),Future,59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,-4.474,0.34,0.314,0.0,0.0686,83.389,0.339,0.5362,Calm
PRIDE.,Kendrick Lamar,6IZvVAP7VPPnsGX6bvgkqg,0.665,0.535,-7.056,0.0572,0.0786,1.68e-05,0.154,138.842,0.37,0.9989,Calm
Two Tens (feat. Anderson .Paak),Cordae,6clDsO8HwhHEgJDDp88VdL,0.603,0.546,-7.525,0.35,0.194,2.68e-06,0.0783,87.99,0.667,0.9641,Calm
Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,0.511,0.566,-7.23,0.2,0.349,0.0,0.34,83.903,0.218,0.9598,Calm
