name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Truth or Dare,Tyla,1whAXVGN8AdfrnoXNIXfJf,0.61,0.599,-5.752,0.341,0.183,0.000124,0.0854,154.255,0.805,0.9972,Excited
High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,82.014,0.681,0.9984,Excited
ANTIFRAGILE,LE SSERAFIM,0bMoNdAnxNR0OuQbGDovrr,0.879,0.784,-3.944,0.081,0.0759,0.0,0.125,105.019,0.83,-0.7269,Excited
Run,OneRepublic,6KL88T4Ma4ABXqzgUoEwkd,0.682,0.72,-8.176,0.0382,0.321,0.0,0.205,116.988,0.649,0.9978,Excited
Captain Hook,Megan Thee Stallion,1E3VQQWFQAPJkXfYHjqWoI,0.863,0.633,-5.002,0.287,0.0118,0.0,0.285,163.991,0.545,-0.1006,Excited
About Damn Time,Lizzo,6HMtHNpW6YPi1hrw9tgF8P,0.836,0.743,-6.305,0.0653,0.0974,0.0,0.335,108.965,0.723,0.9079,Excited
Tap In,Saweetie,4Hpib09wXgD84w4uwTPnYD,0.954,0.696,-7.117,0.204,0.00576,0.000498,0.0754,100.036,0.432,-0.9957,Excited
Dive,Hot Shade,2aXC0fD6qziwlOZZqhCqTd,0.654,0.787,-4.999,0.0502,0.00515,0.0,0.144,123.979,0.409,-0.975,Excited
Rich Girl,Gwen Stefani,2oxtQ84p1j5GmyzmD50Lq0,0.856,0.754,-2.728,0.0416,0.0294,1.49e-05,0.206,98.018,0.722,0.9969,Excited
Pour It Up,Rihanna,5r67bGhYXZNqk2m2Wupfmu,0.785,0.478,-8.735,0.0419,0.0254,0.0,0.0901,134.002,0.39,0.8625,Excited
Wine Pon You (feat. Konshens),Doja Cat,2s4AcE9n80mSHl87lp4gIm,0.797,0.444,-7.738,0.0411,0.304,0.00126,0.107,95.035,0.138,0.9915,Excited
Thank You (Not So Bad),Dimitri Vegas & Like Mike,09CnYHiZ5jGT1wr1TXJ9Zt,0.673,0.95,-5.149,0.0488,0.0229,0.0823,0.398,150.019,0.563,0.9726,Excited
Not My Fault (with Megan Thee Stallion),Reneé Rapp,18dlAFKaajLjRgBNZZ4ThU,0.811,0.788,-6.026,0.179,0.11,1.52e-06,0.378,124.001,0.869,0.998,Excited
ケセラセラ,Mrs. GREEN APPLE,0teqQ0PYqVDyyXJuPOyMhu,0.756,0.578,-4.575,0.0327,0.0306,0.0,0.0534,115.004,0.677,0.3612,Excited
don't wanna break up again,Ariana Grande,0o3ua5ufFK7nfRzbDUNoGA,0.41,0.726,-5.204,0.33,0.456,0.0,0.11,193.956,0.556,0.9578,Excited
Bite Me,ENHYPEN,7mpdNiaQvygj2rHoxkzMfa,0.795,0.781,-4.647,0.141,0.285,0.0,0.108,104.972,0.687,0.875,Excited
Little Girl Gone,CHINCHILLA,56rpEOCBATYItSa4yPksfe,0.712,0.683,-6.342,0.271,0.19,0.0,0.0819,159.998,0.534,-0.8955,Excited
Give It To Me,Timbaland,0wbDgMuAoy7O7pL3a69uZx,0.975,0.711,-3.904,0.0632,0.168,0.000552,0.0799,110.621,0.815,0.9944,Excited
212,Azealia Banks,7mDKRYiqejoHzP7dQGxLys,0.846,0.772,-5.735,0.259,0.0123,0.000106,0.0769,125.998,0.622,-0.9979,Excited
Me & U,Tems,4nFrcGM7MY1mpoQCC7Kefj,0.775,0.662,-7.755,0.0408,0.117,0.0648,0.0928,112.014,0.257,0.9643,Excited
Need to Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,-6.509,0.0707,0.304,0.0,0.0926,130.041,0.194,-0.9311,Excited
Prada,cassö,59NraMJsLaMCVtwXTSia8i,0.638,0.717,-5.804,0.0375,0.001,1.79e-06,0.113,141.904,0.422,0.9942,Excited
Vois sur ton chemin - Techno Mix,BENNETT,31nfdEooLEq7dn3UMcIeB5,0.634,0.824,-3.394,0.047,0.0908,0.0711,0.119,137.959,0.371,0.25,Excited
Unstoppable,The Score,6rrKbzJGGDlSZgLphopS49,0.485,0.843,-3.993,0.0467,0.00129,1.01e-05,0.14,78.001,0.602,0.9814,Excited
Looking at Me,Sabrina Carpenter,59tskctgqUmjCWAwhzYAFm,0.681,0.798,-4.367,0.0375,0.00398,5.11e-06,0.0542,105.99,0.516,0.9727,Excited
Lovin On Me,Jack Harlow,4xhsWYTOGcal8zt0J161CU,0.943,0.558,-4.911,0.0568,0.0026,2.19e-06,0.0937,104.983,0.606,-0.9653,Excited
Flowers,Miley Cyrus,7DSAEUvxU8FajXtRloy8M0,0.706,0.691,-4.775,0.0633,0.0584,6.99e-05,0.0232,118.048,0.632,0.9998,Excited
Baby Don't Hurt Me,David Guetta,3BKD1PwArikchz2Zrlp1qi,0.602,0.91,-3.404,0.0308,0.00126,0.000174,0.12,127.944,0.228,0.9985,Excited
TUCA DONKA,CURSEDEVIL,7bxyNLXYaEYaZTxAuQTHlD,0.844,0.96,-2.682,0.0366,0.117,0.447,0.299,129.986,0.726,0.0,Excited
Bad Memories,MEDUZA,3JhgPs7rbmzLBWRvHlel8U,0.596,0.765,-6.099,0.0544,0.13,0.0,0.172,124.04,0.611,-0.9738,Excited
Faint,Linkin Park,4Yf5bqU3NK4kNOypcrLYwU,0.554,0.978,-3.554,0.131,0.111,0.0,0.0731,135.095,0.594,0.8534,Excited
Shivers - Ofenbach Remix,Ed Sheeran,1eGlStOBtFJ6Oc4hhN5tUR,0.861,0.832,-3.35,0.0457,0.0119,0.0,0.0461,126.989,0.917,0.9959,Excited
"yes, and?",Ariana Grande,5D34wRmbFS29AjtTOP2QJe,0.785,0.766,-6.551,0.0503,0.194,7.57e-05,0.107,119.029,0.804,0.8118,Excited
Stronger,Kanye West,0j2T0R9dR9qdJYsB7ciXhf,0.617,0.717,-7.858,0.153,0.00564,0.0,0.408,103.992,0.49,0.997,Excited
Born For This,The Score,7uCBGNn991AM68fR4tSDco,0.411,0.675,-6.251,0.0591,0.063,0.0,0.092,130.134,0.545,-0.9789,Excited
Belly Dancer,Imanbek,7fZBQnc0zXwVybgCIrQQil,0.845,0.797,-4.984,0.139,0.0582,5.57e-06,0.167,121.985,0.422,0.984,Excited
Wasted Love (feat. Lagique),Ofenbach,1cYyZ1N98GyRS3cMcccFHd,0.734,0.855,-4.578,0.135,0.0821,4.73e-06,0.0901,121.955,0.54,0.9457,Excited
Speed Drive (From Barbie The Album),Charli XCX,5VxmI3IdgAxWVvUnJoLuY2,0.652,0.879,-6.405,0.0784,0.00284,0.0896,0.0918,173.925,0.789,0.9833,Excited
Deep Down (feat. Never Dull),Alok,7MIhUdNJtaOnDmC5nBC1fb,0.687,0.818,-4.221,0.0778,0.0112,0.0,0.248,125.952,0.886,0.9766,Excited
Maneater,Nelly Furtado,4wH4dJgrsxONID6KS2tDQM,0.796,0.777,-4.81,0.0397,0.0261,0.000358,0.121,132.722,0.787,0.9977,Excited
Hall of Fame (feat. will.i.am),The Script,7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,84.786,0.629,0.9976,Excited
FE!N (feat. Playboi Carti),Travis Scott,42VsgItocQwOQC3XWZ8JNA,0.569,0.882,-2.777,0.06,0.0316,0.0,0.142,148.038,0.201,-0.9184,Excited
Fight Back,NEFFEX,6KigD0mlF4VGDYiSEzAyYw,0.716,0.946,-3.412,0.261,0.094,6.63e-05,0.0825,139.943,0.587,-0.9959,Excited
Your Love (9PM),ATB,5YaskwnGDZFDRipaqzbwQx,0.669,0.784,-5.603,0.112,0.194,6.28e-06,0.115,125.993,0.517,0.9964,Excited
Immortals,Fall Out Boy,3Te8uLyit6X3ncNW8Fp3K2,0.616,0.868,-3.606,0.0699,0.00131,1.54e-06,0.671,108.016,0.475,0.9109,Excited
The Nights,Avicii,0ct6r3EGTcMLPtrXHDvVjc,0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,125.983,0.654,0.5911,Excited
GODS,League of Legends,210JJAa9nJOgNa0YNrsT5g,0.588,0.765,-5.914,0.0518,0.00685,3.23e-05,0.2,145.988,0.492,0.9963,Excited
Lovefool,twocolors,51Of5p3lKZeOg6itfs4og4,0.677,0.766,-6.896,0.0568,0.0219,6.81e-06,0.129,123.062,0.198,0.9994,Excited
All By Myself,Alok,5Hp4xFihdOE2dmDzxWcBFb,0.662,0.848,-4.338,0.0346,0.0932,7.62e-06,0.241,123.041,0.773,0.9638,Excited
All Nighter,Tiësto,3jksOdXCaDXyGiZ7L4YZbp,0.753,0.919,-6.202,0.0507,0.0364,0.0597,0.324,124.985,0.376,0.9439,Excited
Superheroes,The Script,37sINbJZcFdHFAsVNsPq1i,0.49,0.885,-4.121,0.0396,0.00218,0.0,0.0741,166.996,0.64,-0.9959,Excited
Drums (Feat. Kim Petras),James Hype,4AFlChQQJbB1MOCgOiiyYc,0.803,0.834,-5.491,0.0366,0.0162,0.00197,0.16,128.008,0.563,0.9736,Excited
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,171.005,0.334,-0.1068,Excited
Ambition For Cash,Key Glock,4mIHgQ3ofK2RK34UdbqMbe,0.841,0.732,-5.186,0.19,0.0115,2.18e-05,0.136,149.012,0.576,-0.8246,Excited
Bad Girls,M.I.A.,6nzXkCBOhb2mxctNihOqbb,0.639,0.912,-2.621,0.0615,0.00107,0.0,0.097,143.448,0.343,-0.9989,Excited
Titanium (feat. Sia),David Guetta,0lHAMNU8RGiIObScrsRgmP,0.604,0.788,-3.673,0.103,0.0678,0.153,0.127,126.06,0.301,-0.9898,Excited
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,741UUVE2kuITl0c6zuqqbO,0.77,0.58,-8.393,0.247,0.519,0.000127,0.233,144.072,0.753,-0.8782,Excited
Don't You Hold Me Down,Alan Walker,0d1ujEcFwTqA4kWliTSJim,0.773,0.839,-4.046,0.0566,0.0276,0.00797,0.132,123.975,0.303,-0.5107,Excited
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2E43WFS4rRc09za2r2GmZl,0.558,0.924,-4.341,0.064,0.0271,3.32e-06,0.537,151.99,0.567,-0.8855,Excited
Car Keys (Ayla),Alok,00E0Z2jrF7reoHps4zcbWQ,0.675,0.986,-4.606,0.0974,0.0868,4.96e-06,0.128,126.004,0.57,0.9957,Excited
Yethi Yethi,Harris Jayaraj,0ew71PqPi7ehntkabL9W4c,0.941,0.771,-7.002,0.0919,0.0656,0.0,0.131,104.501,0.59,0.6369,Excited
